نقل	12	2	10	7.6198
مساعدة	42	8	34	6.6674
يد	18	6	12	3.8099
عقاب	2	1	1	2.5399
الوجودية	12	6	6	2.5399
مادة	36	18	18	2.5399
استقلال	12	6	6	2.5399
قرن	22	11	11	2.5399
تفسير	12	6	6	2.5399
كامل الموقع	40	20	20	2.5399
نطاق	36	18	18	2.5399
صوت	12	6	6	2.5399
تهجئة	12	6	6	2.5399
عصر	14	8	6	2.2225
شريط جانبي	30	18	12	2.1166
حرب	12	8	4	1.9050
تعديل	2	2	0	1.2700
عام	6	6	0	1.2700
لا يزال	6	6	0	1.2700
المادية	12	12	0	1.2700
واشنطن	6	6	0	1.2700
الهندوسية	6	6	0	1.2700
المبادرة	2	2	0	1.2700
21	3	3	0	1.2700
فطري	12	12	0	1.2700
ماركوس	2	2	0	1.2700
الإسراف	6	6	0	1.2700
مبتدئ	2	2	0	1.2700
الحركة	4	4	0	1.2700
تشو أنبينغ	2	2	0	1.2700
تفكيك	4	4	0	1.2700
فتكون	6	6	0	1.2700
نقص	6	6	0	1.2700
كل نجاح	2	2	0	1.2700
قول	6	6	0	1.2700
مناهضة الملكية	6	6	0	1.2700
خصوصية	12	12	0	1.2700
لكن الإيديولوجية	2	2	0	1.2700
المهنة	6	6	0	1.2700
جماعي	2	2	0	1.2700
فهم	4	4	0	1.2700
السيطرة	8	8	0	1.2700
رد فعل	2	2	0	1.2700
الكاثوليكية	12	12	0	1.2700
المؤيدون القاطعون	6	6	0	1.2700
التعليم	12	12	0	1.2700
الكمال	8	8	0	1.2700
لا مثيل له	6	6	0	1.2700
حدث	2	2	0	1.2700
الجنسية	12	12	0	1.2700
الدستورية	6	6	0	1.2700
ندرة	6	6	0	1.2700
العدل	6	6	0	1.2700
سونغ لينغ	1	1	0	1.2700
أرض	6	6	0	1.2700
الموارد المرئية	6	6	0	1.2700
انسجام	1	1	0	1.2700
حدود وطنية	12	12	0	1.2700
كبح	6	6	0	1.2700
أخبار	6	6	0	1.2700
سلسلة	6	6	0	1.2700
ثم الإنتاج	6	6	0	1.2700
بدء الرحلة	2	2	0	1.2700
غالبًا	6	6	0	1.2700
إصدار	6	6	0	1.2700
ملاءمة	6	6	0	1.2700
مونتسكيو	6	6	0	1.2700
عقاب	6	6	0	1.2700
الوصول	6	6	0	1.2700
مناسب	6	6	0	1.2700


